"booking_id","guest_id","listing_id","booking_status_id","checkindate","checkoutdate","no_of_days","booking_date"
315,315,315,3,"2024-01-09","2024-01-10",1,"2023-12-31"
316,316,316,2,"2023-03-05","2023-03-18",13,"2023-02-04"
317,317,317,1,"2023-11-29","2023-12-12",13,"2023-11-20"
318,318,318,2,"2023-07-20","2023-07-29",9,"2023-06-27"
319,319,319,1,"2024-01-19","2024-02-02",14,"2023-12-20"
320,320,320,2,"2023-06-07","2023-06-16",9,"2023-05-14"
321,321,321,2,"2023-06-29","2023-07-02",3,"2023-06-09"
322,322,322,2,"2023-10-30","2023-10-31",1,"2023-10-01"
323,323,323,3,"2024-01-25","2024-01-29",4,"2024-01-15"
324,324,324,1,"2023-05-29","2023-06-02",4,"2023-04-30"
325,325,325,1,"2024-02-02","2024-02-14",12,"2024-01-29"
326,326,326,2,"2023-03-08","2023-03-18",10,"2023-03-01"
327,327,327,2,"2023-10-21","2023-10-26",5,"2023-10-18"
328,328,328,1,"2023-05-20","2023-05-24",4,"2023-04-20"
329,329,329,2,"2023-10-20","2023-10-22",2,"2023-10-07"
330,330,330,1,"2023-03-21","2023-03-23",2,"2023-02-19"
331,331,331,2,"2023-12-15","2023-12-28",13,"2023-12-02"
332,332,332,2,"2023-08-23","2023-08-29",6,"2023-07-31"
333,333,333,3,"2023-07-14","2023-07-19",5,"2023-07-01"
334,334,334,2,"2024-02-04","2024-02-05",1,"2024-01-21"
335,335,335,1,"2023-05-20","2023-05-22",2,"2023-04-27"
336,336,336,3,"2023-10-23","2023-10-25",2,"2023-09-26"
337,337,337,2,"2023-10-19","2023-10-21",2,"2023-10-16"
338,338,338,1,"2023-06-22","2023-07-03",11,"2023-06-02"
339,339,339,1,"2023-07-29","2023-08-04",6,"2023-07-16"
340,340,340,1,"2023-03-26","2023-03-28",2,"2023-03-02"
341,341,341,2,"2023-04-24","2023-05-03",9,"2023-03-31"
342,342,342,3,"2023-08-30","2023-09-04",5,"2023-08-05"
343,343,343,2,"2023-07-11","2023-07-13",2,"2023-06-11"
344,344,344,1,"2023-03-19","2023-03-26",7,"2023-03-07"
345,345,345,2,"2023-03-12","2023-03-16",4,"2023-02-20"
346,346,346,2,"2023-06-07","2023-06-16",9,"2023-05-27"
347,347,347,3,"2023-11-04","2023-11-09",5,"2023-10-15"
348,348,348,1,"2023-03-03","2023-03-11",8,"2023-02-12"
349,349,349,3,"2023-10-02","2023-10-04",2,"2023-09-19"
350,350,350,2,"2023-05-02","2023-05-03",1,"2023-05-01"
351,351,351,3,"2024-01-12","2024-01-22",10,"2023-12-26"
352,352,352,1,"2023-08-12","2023-08-21",9,"2023-07-18"
353,353,353,2,"2023-03-25","2023-03-31",6,"2023-03-16"
354,354,354,3,"2023-05-20","2023-05-22",2,"2023-04-28"
355,355,355,1,"2023-08-07","2023-08-09",2,"2023-07-12"
356,356,356,3,"2024-01-17","2024-01-19",2,"2024-01-11"
357,357,357,3,"2023-03-02","2023-03-09",7,"2023-02-10"
358,358,358,2,"2023-05-06","2023-05-20",14,"2023-04-30"
359,359,359,3,"2023-09-12","2023-09-22",10,"2023-08-16"
360,360,360,2,"2023-06-19","2023-06-28",9,"2023-06-02"
361,361,361,3,"2023-03-19","2023-03-28",9,"2023-02-17"
362,362,362,2,"2024-01-27","2024-02-06",10,"2024-01-19"
363,363,363,2,"2023-12-29","2024-01-07",9,"2023-12-03"
364,364,364,2,"2023-03-17","2023-03-23",6,"2023-03-02"
365,365,365,1,"2023-04-21","2023-04-24",3,"2023-04-12"
366,366,366,1,"2023-02-21","2023-02-25",4,"2023-02-16"
367,367,367,1,"2023-07-20","2023-07-27",7,"2023-07-13"
368,368,368,2,"2023-04-17","2023-05-01",14,"2023-03-29"
369,369,369,1,"2023-07-16","2023-07-19",3,"2023-06-17"
370,370,370,2,"2023-11-04","2023-11-05",1,"2023-10-08"
371,371,371,1,"2024-01-05","2024-01-19",14,"2023-12-26"
372,372,372,1,"2023-04-07","2023-04-17",10,"2023-03-28"
373,373,373,1,"2023-08-21","2023-08-29",8,"2023-08-07"
374,374,374,3,"2023-08-02","2023-08-04",2,"2023-07-03"
375,375,375,3,"2023-09-01","2023-09-14",13,"2023-08-27"
376,376,376,3,"2023-03-30","2023-04-04",5,"2023-03-13"
377,377,377,2,"2023-10-14","2023-10-28",14,"2023-10-02"
378,378,378,1,"2023-12-26","2023-12-30",4,"2023-11-30"
379,379,379,2,"2023-08-03","2023-08-10",7,"2023-07-13"
380,380,380,1,"2024-02-03","2024-02-08",5,"2024-01-25"
381,381,381,2,"2023-09-30","2023-10-02",2,"2023-09-07"
382,382,382,1,"2023-09-22","2023-09-26",4,"2023-09-12"
383,383,383,3,"2023-12-23","2023-12-31",8,"2023-12-17"
384,384,384,1,"2023-12-25","2023-12-31",6,"2023-12-15"
385,385,385,2,"2024-01-21","2024-01-30",9,"2023-12-24"
386,386,386,1,"2023-08-12","2023-08-23",11,"2023-07-17"
387,387,387,2,"2023-07-11","2023-07-17",6,"2023-06-17"
388,388,388,2,"2023-07-24","2023-07-31",7,"2023-06-27"
389,389,389,3,"2023-11-16","2023-11-17",1,"2023-10-25"
390,390,390,2,"2023-05-18","2023-05-19",1,"2023-04-27"
391,391,391,3,"2023-09-08","2023-09-11",3,"2023-08-25"
392,392,392,1,"2024-01-27","2024-02-05",9,"2024-01-22"
393,393,393,3,"2023-08-14","2023-08-16",2,"2023-08-11"
394,394,394,2,"2023-05-28","2023-05-31",3,"2023-05-21"
395,395,395,3,"2023-10-24","2023-10-28",4,"2023-10-21"
396,396,396,3,"2023-11-08","2023-11-20",12,"2023-10-31"
397,397,397,2,"2023-06-22","2023-07-05",13,"2023-05-27"
398,398,398,3,"2023-12-01","2023-12-10",9,"2023-11-13"
399,399,399,1,"2023-08-08","2023-08-20",12,"2023-07-21"
400,400,400,2,"2023-05-27","2023-06-08",12,"2023-05-14"
401,401,401,1,"2024-01-29","2024-02-12",14,"2024-01-09"
402,402,402,1,"2023-11-12","2023-11-18",6,"2023-10-27"
403,403,403,2,"2024-01-31","2024-02-01",1,"2024-01-17"
404,404,404,1,"2023-07-05","2023-07-14",9,"2023-06-13"
405,405,405,3,"2023-05-22","2023-05-27",5,"2023-04-26"
406,406,406,1,"2023-09-12","2023-09-15",3,"2023-09-01"
407,407,407,2,"2023-07-19","2023-07-24",5,"2023-06-30"
408,408,408,1,"2023-12-23","2023-12-25",2,"2023-12-22"
409,409,409,1,"2023-12-14","2023-12-15",1,"2023-12-12"
