"price_id","price","cleaning_fee","security_deposit","extra_person","montly_price","weekly_price"
94,"20.00","10.00","10.00","50.00","1770.00","280.00"
95,"80.00","10.00","20.00","30.00","1530.00","190.00"
96,"70.00","10.00","40.00","40.00","2590.00","100.00"
97,"30.00","10.00","70.00","20.00","2850.00","140.00"
98,"70.00","20.00","70.00","30.00","1810.00","140.00"
99,"10.00","20.00","20.00","50.00","2200.00","190.00"
100,"80.00","20.00","80.00","40.00","2390.00","140.00"
101,"10.00","10.00","20.00","50.00","1770.00","160.00"
102,"60.00","20.00","70.00","50.00","2530.00","130.00"
103,"20.00","10.00","60.00","10.00","2560.00","100.00"
104,"40.00","30.00","20.00","20.00","1700.00","220.00"
105,"20.00","20.00","50.00","50.00","1180.00","290.00"
106,"70.00","20.00","30.00","30.00","1330.00","270.00"
107,"80.00","10.00","60.00","30.00","1870.00","280.00"
108,"40.00","30.00","30.00","20.00","1370.00","250.00"
109,"40.00","20.00","40.00","40.00","2380.00","100.00"
110,"30.00","30.00","80.00","40.00","2700.00","250.00"
111,"90.00","20.00","90.00","40.00","2530.00","210.00"
112,"50.00","30.00","70.00","10.00","2280.00","250.00"
113,"70.00","10.00","60.00","50.00","2320.00","130.00"
114,"60.00","10.00","20.00","20.00","2200.00","300.00"
115,"30.00","10.00","40.00","20.00","3000.00","250.00"
116,"60.00","30.00","60.00","20.00","1150.00","120.00"
117,"50.00","30.00","10.00","20.00","2730.00","200.00"
118,"60.00","10.00","40.00","30.00","2130.00","100.00"
119,"80.00","10.00","20.00","40.00","2290.00","170.00"
120,"80.00","30.00","30.00","40.00","2470.00","250.00"
121,"30.00","30.00","50.00","10.00","1000.00","100.00"
122,"70.00","10.00","10.00","20.00","1360.00","230.00"
123,"70.00","20.00","20.00","10.00","1900.00","220.00"
124,"20.00","30.00","20.00","50.00","2590.00","240.00"
125,"20.00","20.00","70.00","10.00","2400.00","250.00"
126,"40.00","20.00","70.00","20.00","1780.00","170.00"
127,"70.00","10.00","50.00","40.00","2800.00","190.00"
128,"50.00","10.00","20.00","20.00","1990.00","120.00"
129,"40.00","10.00","60.00","50.00","2350.00","220.00"
130,"70.00","20.00","70.00","40.00","2260.00","140.00"
131,"90.00","10.00","80.00","30.00","2910.00","100.00"
132,"90.00","10.00","30.00","30.00","2200.00","230.00"
133,"70.00","20.00","30.00","30.00","1510.00","300.00"
134,"90.00","20.00","70.00","20.00","1110.00","220.00"
135,"80.00","10.00","50.00","10.00","1340.00","160.00"
136,"20.00","10.00","70.00","20.00","2180.00","260.00"
137,"80.00","30.00","40.00","10.00","1350.00","100.00"
138,"10.00","10.00","40.00","20.00","1580.00","300.00"
139,"80.00","20.00","60.00","20.00","2880.00","250.00"
140,"40.00","30.00","80.00","20.00","2030.00","140.00"
141,"90.00","10.00","90.00","10.00","2830.00","140.00"
142,"80.00","10.00","90.00","20.00","2450.00","240.00"
143,"10.00","30.00","10.00","20.00","2370.00","240.00"
144,"50.00","10.00","10.00","10.00","1740.00","260.00"
145,"60.00","20.00","30.00","40.00","1920.00","280.00"
146,"50.00","20.00","60.00","10.00","1210.00","100.00"
147,"50.00","20.00","70.00","50.00","1700.00","250.00"
148,"70.00","30.00","90.00","50.00","2240.00","200.00"
149,"30.00","10.00","80.00","30.00","1910.00","140.00"
150,"20.00","30.00","40.00","30.00","1420.00","260.00"
151,"80.00","10.00","20.00","40.00","1790.00","240.00"
152,"10.00","30.00","20.00","40.00","2450.00","110.00"
153,"70.00","20.00","60.00","40.00","1450.00","230.00"
154,"40.00","30.00","30.00","30.00","2070.00","300.00"
155,"80.00","20.00","80.00","20.00","2380.00","160.00"
156,"10.00","10.00","10.00","20.00","1370.00","270.00"
157,"80.00","10.00","20.00","20.00","2990.00","210.00"
158,"80.00","30.00","50.00","20.00","2460.00","230.00"
159,"30.00","10.00","90.00","10.00","1900.00","250.00"
160,"90.00","20.00","40.00","20.00","1990.00","180.00"
161,"80.00","30.00","90.00","30.00","2930.00","240.00"
162,"90.00","30.00","10.00","40.00","2190.00","190.00"
163,"90.00","10.00","90.00","30.00","2200.00","250.00"
164,"10.00","20.00","20.00","20.00","1860.00","290.00"
165,"70.00","10.00","10.00","10.00","1010.00","210.00"
166,"10.00","30.00","80.00","30.00","2340.00","160.00"
167,"10.00","30.00","50.00","50.00","2110.00","120.00"
168,"90.00","30.00","10.00","50.00","2740.00","120.00"
169,"10.00","20.00","50.00","30.00","1390.00","140.00"
170,"30.00","10.00","80.00","10.00","1730.00","250.00"
171,"80.00","10.00","70.00","50.00","2810.00","210.00"
172,"80.00","10.00","20.00","10.00","2160.00","110.00"
173,"60.00","10.00","10.00","10.00","1710.00","100.00"
174,"40.00","10.00","80.00","20.00","1220.00","160.00"
175,"70.00","20.00","50.00","50.00","2910.00","210.00"
176,"80.00","30.00","40.00","30.00","2760.00","210.00"
177,"50.00","30.00","90.00","50.00","2090.00","200.00"
178,"70.00","30.00","10.00","50.00","2430.00","280.00"
179,"60.00","10.00","10.00","50.00","1520.00","290.00"
180,"30.00","20.00","50.00","50.00","1130.00","120.00"
181,"60.00","30.00","20.00","30.00","2700.00","230.00"
182,"20.00","10.00","20.00","40.00","1790.00","280.00"
183,"30.00","30.00","80.00","10.00","2320.00","240.00"
184,"90.00","20.00","60.00","40.00","3000.00","290.00"
185,"10.00","30.00","50.00","50.00","2180.00","290.00"
186,"40.00","30.00","70.00","20.00","2820.00","170.00"
187,"30.00","20.00","70.00","30.00","2020.00","140.00"
188,"10.00","10.00","80.00","10.00","1690.00","250.00"
189,"90.00","10.00","60.00","10.00","2880.00","230.00"
190,"20.00","10.00","70.00","20.00","1100.00","110.00"
191,"70.00","20.00","10.00","20.00","1410.00","140.00"
192,"30.00","20.00","80.00","10.00","2970.00","300.00"
193,"50.00","20.00","30.00","50.00","2470.00","290.00"
194,"40.00","10.00","70.00","20.00","2330.00","180.00"
195,"10.00","10.00","40.00","20.00","2510.00","230.00"
196,"20.00","30.00","50.00","40.00","2750.00","260.00"
197,"70.00","10.00","90.00","20.00","2100.00","120.00"
198,"90.00","20.00","20.00","30.00","2810.00","250.00"
199,"30.00","20.00","80.00","30.00","2310.00","220.00"
200,"40.00","30.00","80.00","30.00","1070.00","210.00"
201,"60.00","30.00","30.00","30.00","2110.00","100.00"
202,"30.00","30.00","70.00","10.00","2290.00","250.00"
203,"70.00","30.00","60.00","40.00","2630.00","110.00"
204,"80.00","10.00","30.00","30.00","2180.00","280.00"
205,"50.00","30.00","20.00","10.00","1710.00","190.00"
206,"70.00","10.00","70.00","40.00","2940.00","240.00"
207,"90.00","30.00","30.00","40.00","2560.00","300.00"
208,"70.00","30.00","90.00","40.00","2210.00","220.00"
209,"50.00","20.00","60.00","20.00","2400.00","150.00"
210,"30.00","10.00","30.00","20.00","1120.00","170.00"
211,"80.00","10.00","90.00","20.00","1180.00","190.00"
212,"60.00","20.00","30.00","30.00","2850.00","240.00"
213,"10.00","20.00","70.00","50.00","2570.00","220.00"
214,"90.00","30.00","90.00","30.00","1340.00","140.00"
215,"60.00","20.00","70.00","30.00","2890.00","220.00"
216,"40.00","30.00","60.00","50.00","1870.00","120.00"
217,"90.00","30.00","30.00","40.00","2720.00","290.00"
218,"20.00","10.00","80.00","40.00","1910.00","130.00"
219,"50.00","20.00","20.00","20.00","2500.00","100.00"
220,"40.00","30.00","80.00","40.00","2680.00","230.00"
221,"20.00","30.00","40.00","10.00","2040.00","220.00"
222,"90.00","10.00","20.00","30.00","2230.00","200.00"
223,"40.00","10.00","30.00","10.00","2560.00","130.00"
224,"30.00","30.00","10.00","40.00","2730.00","160.00"
225,"90.00","30.00","30.00","20.00","1250.00","290.00"
226,"90.00","20.00","40.00","50.00","2410.00","210.00"
227,"70.00","30.00","90.00","20.00","1070.00","110.00"
228,"70.00","20.00","40.00","10.00","2370.00","220.00"
229,"40.00","10.00","50.00","30.00","2400.00","150.00"
230,"40.00","20.00","20.00","30.00","1870.00","190.00"
231,"80.00","30.00","30.00","30.00","2310.00","200.00"
232,"50.00","30.00","10.00","10.00","1040.00","280.00"
233,"60.00","20.00","10.00","20.00","2610.00","290.00"
234,"40.00","20.00","30.00","30.00","2730.00","210.00"
235,"10.00","30.00","60.00","10.00","1730.00","150.00"
236,"90.00","20.00","40.00","40.00","2480.00","300.00"
237,"90.00","30.00","60.00","40.00","1720.00","160.00"
238,"10.00","20.00","80.00","50.00","1580.00","130.00"
239,"80.00","30.00","50.00","40.00","1650.00","300.00"
240,"50.00","10.00","30.00","40.00","1690.00","260.00"
241,"50.00","30.00","90.00","10.00","1790.00","200.00"
242,"60.00","20.00","40.00","10.00","2640.00","120.00"
243,"30.00","10.00","90.00","40.00","2560.00","260.00"
244,"50.00","10.00","20.00","40.00","1260.00","180.00"
245,"40.00","20.00","80.00","50.00","2080.00","280.00"
246,"10.00","20.00","60.00","30.00","1720.00","210.00"
247,"40.00","10.00","10.00","50.00","1060.00","270.00"
248,"10.00","10.00","30.00","10.00","2670.00","260.00"
249,"10.00","10.00","60.00","20.00","2080.00","230.00"
250,"50.00","10.00","90.00","30.00","2200.00","180.00"
251,"40.00","20.00","10.00","30.00","2750.00","290.00"
252,"10.00","10.00","60.00","40.00","2630.00","270.00"
253,"20.00","10.00","70.00","40.00","1830.00","280.00"
254,"50.00","10.00","50.00","30.00","2550.00","130.00"
255,"10.00","30.00","50.00","30.00","1340.00","220.00"
256,"40.00","10.00","30.00","50.00","1130.00","300.00"
257,"30.00","10.00","40.00","50.00","2360.00","300.00"
258,"30.00","20.00","70.00","40.00","2410.00","180.00"
259,"60.00","10.00","30.00","30.00","1420.00","190.00"
260,"70.00","20.00","80.00","40.00","2560.00","120.00"
261,"60.00","30.00","30.00","50.00","2000.00","130.00"
262,"70.00","10.00","60.00","10.00","1490.00","280.00"
263,"50.00","20.00","20.00","20.00","2400.00","280.00"
264,"70.00","30.00","30.00","10.00","2310.00","250.00"
265,"30.00","20.00","90.00","20.00","2480.00","300.00"
266,"60.00","30.00","70.00","40.00","1110.00","280.00"
267,"50.00","10.00","10.00","30.00","1240.00","280.00"
268,"80.00","30.00","60.00","20.00","1420.00","200.00"
269,"60.00","30.00","50.00","40.00","1330.00","270.00"
270,"10.00","10.00","60.00","10.00","2620.00","260.00"
271,"50.00","30.00","20.00","40.00","2430.00","210.00"
272,"90.00","30.00","30.00","20.00","3000.00","210.00"
273,"40.00","20.00","10.00","30.00","1330.00","280.00"
274,"60.00","30.00","70.00","50.00","2090.00","200.00"
275,"10.00","10.00","70.00","40.00","2780.00","190.00"
276,"20.00","30.00","70.00","10.00","1960.00","160.00"
277,"50.00","30.00","60.00","50.00","2710.00","130.00"
278,"70.00","30.00","10.00","50.00","2040.00","110.00"
279,"60.00","10.00","80.00","20.00","1500.00","260.00"
280,"10.00","30.00","30.00","10.00","1950.00","220.00"
281,"50.00","30.00","10.00","30.00","1020.00","100.00"
282,"70.00","10.00","30.00","50.00","1140.00","270.00"
283,"20.00","20.00","10.00","20.00","1370.00","300.00"
284,"20.00","20.00","20.00","30.00","1540.00","290.00"
285,"40.00","10.00","40.00","30.00","1090.00","190.00"
286,"30.00","30.00","20.00","20.00","2470.00","100.00"
287,"90.00","30.00","30.00","40.00","2390.00","240.00"
288,"70.00","30.00","50.00","10.00","1080.00","210.00"
289,"10.00","30.00","10.00","30.00","2550.00","110.00"
290,"50.00","10.00","30.00","50.00","2190.00","150.00"
291,"70.00","10.00","90.00","10.00","1650.00","220.00"
292,"70.00","30.00","40.00","30.00","2660.00","180.00"
293,"30.00","30.00","40.00","20.00","1050.00","100.00"
294,"20.00","10.00","50.00","30.00","1850.00","210.00"
295,"80.00","10.00","30.00","50.00","1470.00","170.00"
296,"60.00","10.00","80.00","10.00","2870.00","270.00"
297,"40.00","10.00","90.00","20.00","1030.00","250.00"
298,"60.00","20.00","90.00","40.00","2040.00","230.00"
299,"90.00","30.00","70.00","50.00","2450.00","250.00"
300,"50.00","30.00","50.00","40.00","2500.00","210.00"
301,"30.00","30.00","70.00","10.00","1650.00","290.00"
302,"50.00","20.00","70.00","50.00","2450.00","190.00"
303,"50.00","30.00","80.00","40.00","1350.00","120.00"
304,"10.00","20.00","20.00","40.00","1200.00","130.00"
305,"90.00","30.00","80.00","50.00","1290.00","260.00"
306,"70.00","30.00","60.00","20.00","1070.00","270.00"
307,"40.00","30.00","80.00","30.00","2130.00","260.00"
308,"90.00","20.00","70.00","40.00","2940.00","250.00"
309,"40.00","10.00","40.00","40.00","1860.00","110.00"
310,"70.00","20.00","50.00","10.00","2180.00","150.00"
311,"90.00","30.00","60.00","10.00","2500.00","140.00"
312,"70.00","20.00","70.00","30.00","2790.00","160.00"
313,"80.00","20.00","70.00","50.00","1000.00","210.00"
314,"40.00","10.00","80.00","30.00","2690.00","190.00"
315,"80.00","10.00","90.00","10.00","1020.00","140.00"
316,"40.00","30.00","50.00","10.00","1040.00","120.00"
317,"80.00","20.00","70.00","20.00","1110.00","230.00"
318,"40.00","20.00","20.00","30.00","1560.00","170.00"
319,"80.00","20.00","30.00","10.00","2990.00","180.00"
320,"70.00","30.00","20.00","40.00","1350.00","260.00"
321,"90.00","30.00","20.00","20.00","1280.00","200.00"
322,"90.00","30.00","70.00","40.00","1380.00","270.00"
323,"70.00","30.00","10.00","20.00","2170.00","130.00"
324,"20.00","20.00","20.00","40.00","1900.00","300.00"
325,"10.00","20.00","20.00","40.00","1800.00","110.00"
326,"80.00","30.00","50.00","30.00","2160.00","120.00"
327,"30.00","10.00","60.00","40.00","1580.00","160.00"
328,"10.00","30.00","70.00","50.00","2970.00","110.00"
329,"50.00","30.00","50.00","10.00","2460.00","290.00"
330,"30.00","30.00","80.00","30.00","2600.00","190.00"
331,"90.00","10.00","50.00","20.00","2860.00","120.00"
332,"90.00","20.00","70.00","10.00","1380.00","150.00"
333,"70.00","20.00","60.00","10.00","1640.00","180.00"
334,"50.00","20.00","70.00","20.00","1810.00","160.00"
335,"10.00","20.00","30.00","40.00","1130.00","130.00"
336,"30.00","20.00","70.00","50.00","1800.00","300.00"
337,"80.00","20.00","70.00","30.00","2480.00","140.00"
338,"40.00","30.00","40.00","20.00","1060.00","130.00"
339,"20.00","30.00","50.00","20.00","2070.00","120.00"
340,"60.00","10.00","30.00","40.00","1130.00","270.00"
341,"60.00","30.00","70.00","10.00","1450.00","150.00"
342,"30.00","20.00","70.00","50.00","2090.00","210.00"
343,"80.00","20.00","30.00","40.00","2860.00","130.00"
344,"60.00","10.00","40.00","10.00","1510.00","260.00"
345,"50.00","30.00","70.00","10.00","1590.00","190.00"
346,"60.00","30.00","20.00","30.00","2790.00","290.00"
347,"50.00","10.00","40.00","20.00","1240.00","200.00"
348,"90.00","10.00","10.00","50.00","1060.00","140.00"
349,"50.00","10.00","30.00","50.00","1100.00","270.00"
350,"40.00","30.00","10.00","20.00","1130.00","230.00"
351,"80.00","10.00","50.00","10.00","2430.00","240.00"
352,"80.00","30.00","50.00","50.00","2130.00","140.00"
353,"90.00","30.00","30.00","50.00","2200.00","170.00"
354,"90.00","10.00","40.00","10.00","3000.00","170.00"
355,"10.00","10.00","40.00","20.00","2760.00","100.00"
356,"10.00","30.00","60.00","30.00","1190.00","270.00"
357,"50.00","20.00","50.00","40.00","1180.00","140.00"
358,"90.00","30.00","40.00","20.00","2370.00","140.00"
359,"40.00","30.00","20.00","40.00","2570.00","260.00"
360,"90.00","30.00","40.00","50.00","1360.00","280.00"
361,"60.00","10.00","50.00","20.00","2010.00","300.00"
362,"70.00","10.00","10.00","20.00","1060.00","270.00"
363,"50.00","30.00","30.00","30.00","1940.00","210.00"
364,"30.00","20.00","20.00","20.00","1820.00","270.00"
365,"70.00","30.00","90.00","50.00","2520.00","240.00"
366,"50.00","10.00","70.00","20.00","2400.00","120.00"
367,"80.00","10.00","50.00","10.00","2380.00","200.00"
368,"60.00","10.00","70.00","10.00","1340.00","130.00"
369,"40.00","10.00","50.00","50.00","2960.00","140.00"
370,"80.00","20.00","80.00","40.00","2030.00","220.00"
371,"90.00","20.00","60.00","20.00","1640.00","300.00"
372,"80.00","10.00","10.00","40.00","2870.00","260.00"
373,"30.00","20.00","50.00","30.00","2730.00","140.00"
374,"20.00","20.00","50.00","20.00","2840.00","260.00"
375,"20.00","20.00","10.00","30.00","2020.00","180.00"
376,"40.00","10.00","70.00","10.00","1300.00","230.00"
377,"90.00","20.00","30.00","50.00","2610.00","260.00"
378,"10.00","30.00","30.00","10.00","2020.00","210.00"
379,"60.00","30.00","10.00","50.00","2640.00","270.00"
380,"70.00","20.00","40.00","50.00","2540.00","300.00"
381,"80.00","10.00","30.00","40.00","2480.00","100.00"
382,"10.00","30.00","20.00","40.00","2680.00","210.00"
383,"80.00","20.00","30.00","50.00","2320.00","210.00"
384,"80.00","30.00","10.00","20.00","1100.00","170.00"
385,"90.00","30.00","30.00","20.00","1870.00","120.00"
386,"80.00","30.00","70.00","10.00","2360.00","100.00"
387,"60.00","20.00","10.00","50.00","2770.00","260.00"
388,"10.00","20.00","50.00","10.00","1700.00","200.00"
389,"70.00","10.00","50.00","20.00","1290.00","290.00"
390,"90.00","30.00","60.00","10.00","2850.00","200.00"
391,"20.00","10.00","60.00","10.00","2710.00","150.00"
392,"50.00","20.00","60.00","40.00","2450.00","300.00"
393,"10.00","20.00","90.00","10.00","2740.00","290.00"
394,"30.00","30.00","70.00","40.00","2740.00","190.00"
395,"60.00","30.00","50.00","30.00","1160.00","270.00"
396,"60.00","20.00","40.00","10.00","1980.00","130.00"
397,"40.00","10.00","50.00","50.00","2280.00","200.00"
398,"40.00","30.00","80.00","50.00","2600.00","190.00"
399,"30.00","20.00","70.00","40.00","1680.00","210.00"
400,"60.00","10.00","10.00","30.00","1620.00","110.00"
401,"40.00","10.00","30.00","30.00","2270.00","220.00"
402,"10.00","30.00","20.00","10.00","2800.00","190.00"
403,"90.00","20.00","80.00","10.00","2950.00","120.00"
404,"20.00","20.00","80.00","30.00","1460.00","230.00"
405,"10.00","10.00","90.00","50.00","1990.00","210.00"
406,"70.00","20.00","40.00","30.00","1530.00","280.00"
407,"70.00","30.00","40.00","40.00","1400.00","100.00"
408,"40.00","20.00","90.00","10.00","1870.00","110.00"
409,"30.00","20.00","30.00","10.00","2200.00","250.00"
410,"60.00","30.00","20.00","40.00","2990.00","220.00"
411,"80.00","20.00","90.00","40.00","1180.00","160.00"
412,"70.00","20.00","10.00","50.00","1710.00","150.00"
413,"10.00","10.00","90.00","20.00","2290.00","140.00"
414,"80.00","10.00","10.00","10.00","2350.00","200.00"
415,"50.00","30.00","90.00","40.00","2930.00","240.00"
416,"80.00","10.00","60.00","20.00","2260.00","100.00"
417,"60.00","30.00","90.00","40.00","1540.00","260.00"
418,"30.00","10.00","20.00","10.00","1780.00","300.00"
419,"50.00","10.00","10.00","10.00","1860.00","120.00"
420,"90.00","20.00","60.00","30.00","1470.00","170.00"
421,"80.00","30.00","10.00","10.00","2650.00","170.00"
422,"30.00","30.00","90.00","50.00","2780.00","290.00"
423,"60.00","20.00","50.00","10.00","1740.00","280.00"
424,"70.00","20.00","20.00","30.00","2970.00","260.00"
425,"70.00","20.00","90.00","40.00","2560.00","270.00"
426,"30.00","10.00","20.00","40.00","2190.00","180.00"
427,"80.00","30.00","30.00","20.00","1740.00","160.00"
428,"30.00","10.00","20.00","10.00","1080.00","130.00"
429,"60.00","30.00","90.00","40.00","1350.00","100.00"
430,"40.00","30.00","40.00","10.00","2450.00","300.00"
431,"40.00","10.00","50.00","30.00","2920.00","180.00"
432,"50.00","20.00","40.00","30.00","2180.00","240.00"
433,"20.00","10.00","50.00","20.00","1410.00","260.00"
434,"30.00","10.00","40.00","10.00","2200.00","140.00"
435,"50.00","10.00","50.00","20.00","1740.00","220.00"
436,"30.00","10.00","80.00","20.00","2390.00","300.00"
437,"10.00","10.00","40.00","40.00","2720.00","270.00"
438,"90.00","10.00","70.00","20.00","2770.00","240.00"
439,"90.00","20.00","20.00","50.00","2050.00","100.00"
440,"70.00","10.00","70.00","20.00","1690.00","150.00"
441,"30.00","10.00","60.00","20.00","2960.00","220.00"
442,"80.00","20.00","20.00","10.00","1600.00","100.00"
443,"50.00","30.00","90.00","30.00","1070.00","140.00"
444,"50.00","10.00","60.00","50.00","2080.00","110.00"
445,"90.00","30.00","40.00","10.00","2820.00","150.00"
446,"20.00","20.00","30.00","40.00","2540.00","280.00"
447,"30.00","30.00","40.00","30.00","1170.00","290.00"
448,"40.00","10.00","80.00","20.00","1450.00","180.00"
449,"80.00","10.00","30.00","50.00","1860.00","100.00"
450,"70.00","20.00","30.00","10.00","1400.00","120.00"
451,"80.00","20.00","70.00","30.00","1170.00","200.00"
452,"60.00","30.00","40.00","20.00","1810.00","300.00"
453,"50.00","20.00","80.00","40.00","1920.00","270.00"
454,"10.00","30.00","20.00","40.00","1270.00","250.00"
455,"20.00","10.00","40.00","10.00","2570.00","160.00"
456,"90.00","10.00","50.00","30.00","2990.00","130.00"
457,"90.00","30.00","70.00","30.00","1350.00","300.00"
458,"40.00","20.00","90.00","50.00","1610.00","300.00"
459,"20.00","10.00","40.00","20.00","1720.00","290.00"
460,"40.00","10.00","30.00","40.00","1960.00","200.00"
461,"90.00","20.00","20.00","10.00","1200.00","200.00"
462,"10.00","20.00","10.00","10.00","1240.00","150.00"
463,"30.00","20.00","90.00","10.00","1030.00","250.00"
464,"70.00","20.00","20.00","50.00","2250.00","190.00"
465,"30.00","30.00","70.00","10.00","1640.00","200.00"
466,"70.00","20.00","50.00","10.00","1280.00","210.00"
467,"50.00","20.00","50.00","50.00","1250.00","290.00"
468,"60.00","20.00","60.00","10.00","1150.00","140.00"
469,"90.00","30.00","70.00","40.00","2120.00","220.00"
470,"80.00","20.00","70.00","50.00","1120.00","150.00"
471,"70.00","30.00","70.00","30.00","2930.00","280.00"
472,"20.00","10.00","90.00","40.00","2310.00","110.00"
473,"30.00","10.00","80.00","40.00","1110.00","210.00"
474,"20.00","20.00","50.00","20.00","2630.00","280.00"
475,"20.00","30.00","90.00","20.00","1370.00","170.00"
476,"20.00","10.00","10.00","40.00","2210.00","220.00"
477,"30.00","10.00","10.00","10.00","2120.00","260.00"
478,"60.00","10.00","70.00","20.00","1320.00","120.00"
479,"70.00","20.00","80.00","40.00","1820.00","190.00"
480,"90.00","10.00","70.00","20.00","2570.00","250.00"
